"MUNID","CODEID","SEGMENT","TYPE","GENERIQUE","LIAISON","SPECIFIQUE","DIRECTION","NOM_TOPO","COTE","ORIENTATIO","DIREC_UNIQ","CIV_GAU_DE","CIV_GAU_A","CIV_DRT_DE","CIV_DRT_A","LIMITE_VIT","HIERARCHI","ENTITEID","GEOM"
"81017","7100","","Standard","Avenue","","Gatineau","","Avenue Gatineau","","","Non","167","255","160","170","50","Collectrice principale","{98BC29FD-9B07-4D78-8B50-AD3225EEC51D}","LINESTRING (-75.716825 45.486301,-75.716335 45.486939,-75.71628804121352 45.48723004601048,-75.71646801082122 45.48749499095873,-75.71682 45.487653,-75.718043 45.487921,-75.7183594803552 45.488095978918025,-75.71851880330352 45.488355831380424,-75.718482 45.488637,-75.718323 45.488986)"
"81017","795","","Standard","Chemin","","Klock","","Chemin Klock","","","Non","931","1261","928","1250","70","Collectrice secondaire","{B2D7A1F0-DFD7-447D-AA19-6A1F7B5EF1FC}","LINESTRING (-75.853459 45.439324,-75.853585 45.440023,-75.853904 45.441871,-75.85406 45.44287,-75.854357 45.445146,-75.8546 45.446968,-75.854783 45.448311,-75.854984 45.449734,-75.855219 45.451474,-75.85554 45.453592,-75.855676 45.454383,-75.855684 45.454435)"
"81017","794","","Standard","Chemin","","Pink","","Chemin Pink","","","Non","0","0","1001","1501","70","Collectrice principale","{53411B05-472B-4009-BA68-82AB38C43350}","LINESTRING (-75.853459 45.439324,-75.853418 45.439327,-75.852165 45.439417,-75.849509 45.439602,-75.842632 45.44014,-75.838151 45.440477,-75.835779 45.440646,-75.831014 45.440958,-75.82878 45.441109,-75.828332 45.441139,-75.826865 45.441238,-75.821911 45.44158,-75.819409 45.441736)"
"81017","12844","","Standard","Rue","de la","Tortue","","Rue de la Tortue","","","Non","77","153","86","158","40","Rue locale","{6A14D347-1D33-4503-98AB-D1E26DA65A72}","LINESTRING (-75.853459 45.418787,-75.853556 45.419592,-75.85359084117079 45.41967062424309,-75.85368019884473 45.41972386652381,-75.853796 45.419735,-75.854393 45.419696,-75.85445099312187 45.4196882922123,-75.85450646526408 45.419674172030646,-75.854558 45.419654,-75.854784 45.419541)"
"81017","5162","","Standard","Rue","","Saint-Cyr","","Rue Saint-Cyr","","","Non","31","31","32","32","40","Rue locale","{AA613558-CCF1-4B6A-98A0-ED014DE51267}","LINESTRING (-75.743261 45.425268,-75.74325786989866 45.42528892909781,-75.74325720171568 45.4253099768618,-75.743259 45.425331,-75.743311 45.425645)"
"81017","5161","","Standard","Rue","","Augustin-Thibault","","Rue Augustin-Thibault","","","Non","7","31","2","32","40","Rue locale","{8DCA98D6-48EE-4846-AA05-C791EB87BCD4}","LINESTRING (-75.743261 45.425268,-75.742648 45.425309,-75.7425635285142 45.425322568748136,-75.74251343453994 45.425372261970594,-75.742523 45.425433,-75.742779 45.427046,-75.74279564364434 45.42710307657348,-75.74283906915598 45.42715275535878,-75.742904 45.427189,-75.743264 45.427333,-75.74333370658644 45.4273557817754,-75.74340628651365 45.427373508670065,-75.743481 45.427386,-75.743583 45.427397)"
"81017","8210","","Jointure","Boulevard","","Maloney","Ouest","Boulevard Maloney Ouest","","","Oui","0","0","0","0","70","Artère principale","{D3616486-9FB1-4149-BE46-0AD1519E082F}","LINESTRING (-75.680774 45.481357,-75.680645 45.481386)"
"81017","8219","","Standard","Boulevard","de la","Cité","","Boulevard de la Cité","","","Oui","0","0","0","0","50","Collectrice principale","{3A2D5E7F-A0D2-4199-8625-3BEA54FB25AD}","LINESTRING (-75.680774 45.481357,-75.68073 45.481112)"
"81017","3825","","Standard","Rue","","Robitaille","","Rue Robitaille","","","Non","4","18","9","19","40","Rue locale","{BF814DB8-83DE-40F7-9662-5FCF9DDBC81C}","LINESTRING (-75.697065 45.458626,-75.69708785935408 45.45866550544529,-75.69710557414047 45.458706282878076,-75.697118 45.458748,-75.697301 45.460068)"
"81017","7476","","Standard","Rue","de la","Baie","","Rue de la Baie","","","Non","54","74","55","79","40","Rue locale","{117DAAC0-5456-4B15-A11C-A3EBC015E23F}","LINESTRING (-75.697065 45.458626,-75.696386 45.45928,-75.696260782995 45.459441992803036,-75.69616723369126 45.4596143381153,-75.696107 45.459794,-75.696051 45.460054)"
